"Datum","Datum Jahr","Datum Monat","Monat","Datum Tag","Datum Monat Tag","Hotelkategorie","Anzahl Ankünfte","Anzahl Logiernächte","Anzahl verfügbare Zimmer","Anzahl belegte Zimmer","Zimmerauslastung"
2024-12-09,2024,"Dezember",12,9,"12-09","Keine Kategorie",412,627,622,420,67.524115755627
2024-12-09,2024,"Dezember",12,9,"12-09","Total",3246,5336,4731,3542,74.8678926231241
2024-12-10,2024,"Dezember",12,10,"12-10","1- und 2-Stern",353,592,557,339,60.8617594254937
2024-12-10,2024,"Dezember",12,10,"12-10","3-Stern",926,1739,1519,1275,83.9368005266623
2024-12-10,2024,"Dezember",12,10,"12-10","4- und 5-Stern",1308,2803,2033,1903,93.6055090998524
2024-12-10,2024,"Dezember",12,10,"12-10","Keine Kategorie",441,711,622,448,72.0257234726688
2024-12-10,2024,"Dezember",12,10,"12-10","Total",3028,5845,4731,3965,83.8089198900867
2024-12-11,2024,"Dezember",12,11,"12-11","1- und 2-Stern",362,598,557,308,55.2962298025135
2024-12-11,2024,"Dezember",12,11,"12-11","3-Stern",844,1619,1519,1168,76.8926925608953
2024-12-11,2024,"Dezember",12,11,"12-11","4- und 5-Stern",1307,2825,2033,1902,93.5563207083128
2024-12-11,2024,"Dezember",12,11,"12-11","Keine Kategorie",429,723,622,454,72.9903536977492
2024-12-11,2024,"Dezember",12,11,"12-11","Total",2942,5765,4731,3832,80.997674910167
2024-12-12,2024,"Dezember",12,12,"12-12","1- und 2-Stern",417,626,557,312,56.0143626570916
2024-12-12,2024,"Dezember",12,12,"12-12","3-Stern",981,1625,1519,1118,73.6010533245556
2024-12-12,2024,"Dezember",12,12,"12-12","4- und 5-Stern",1444,2819,2033,1827,89.8671913428431
2024-12-12,2024,"Dezember",12,12,"12-12","Keine Kategorie",549,815,622,479,77.0096463022508
2024-12-12,2024,"Dezember",12,12,"12-12","Total",3391,5885,4731,3736,78.9685056013528
2024-12-13,2024,"Dezember",12,13,"12-13","1- und 2-Stern",550,827,557,395,70.9156193895871
2024-12-13,2024,"Dezember",12,13,"12-13","3-Stern",1536,2198,1519,1292,85.0559578670178
2024-12-13,2024,"Dezember",12,13,"12-13","4- und 5-Stern",2112,3316,2033,1863,91.6379734382686
2024-12-13,2024,"Dezember",12,13,"12-13","Keine Kategorie",626,968,622,508,81.6720257234727
2024-12-13,2024,"Dezember",12,13,"12-13","Total",4824,7309,4731,4058,85.7746776580004
2024-12-14,2024,"Dezember",12,14,"12-14","1- und 2-Stern",586,1000,557,380,68.2226211849192
2024-12-14,2024,"Dezember",12,14,"12-14","3-Stern",1573,2522,1519,1391,91.5734035549704
2024-12-14,2024,"Dezember",12,14,"12-14","4- und 5-Stern",2040,3624,2033,1905,93.7038858829316
2024-12-14,2024,"Dezember",12,14,"12-14","Keine Kategorie",658,1094,622,529,85.048231511254
2024-12-14,2024,"Dezember",12,14,"12-14","Total",4857,8240,4731,4205,88.8818431621222
2024-12-15,2024,"Dezember",12,15,"12-15","1- und 2-Stern",214,543,557,204,36.6247755834829
